1,0,0,-112,112,5513,-11496,5987
2,250,10,-117,107,6288,-11482,5198
3,500,20,-121,101,7024,-11397,4377
4,750,30,-124,94,7717,-11241,3529
5,1000,40,-127,87,8362,-11016,2660
6,1250,49,-128,79,8955,-10723,1774
7,1500,59,-129,70,9494,-10364,877
8,1750,67,-129,62,9974,-9942,-25
9,2000,76,-129,52,10392,-9458,-927
10,2250,84,-127,43,10746,-8915,-1823
11,2500,91,-125,33,11034,-8318,-2709
12,2750,98,-122,23,11254,-7669,-3577
13,3000,105,-118,13,11405,-6973,-4424
14,3250,110,-114,3,11485,-6234,-5243
15,3500,115,-108,-6,11495,-5457,-6030
16,3750,120,-103,-16,11433,-4646,-6779
17,4000,123,-96,-26,11301,-3806,-7487
18,4250,126,-89,-36,11100,-2943,-8149
19,4500,128,-81,-46,10830,-2062,-8760
20,4750,129,-73,-55,10493,-1168,-9318
21,5000,130,-64,-64,10092,-266,-9818
22,5250,129,-55,-73,9628,636,-10257
23,5500,128,-46,-81,9105,1534,-10634
24,5750,126,-36,-89,8526,2424,-10944
25,6000,123,-26,-96,7894,3298,-11188
26,6250,120,-16,-103,7214,4153,-11362
27,6500,115,-6,-108,6489,4981,-11466
28,6750,110,3,-114,5724,5779,-11499
29,7000,105,13,-118,4924,6541,-11462
30,7250,98,23,-122,4093,7263,-11354
31,7500,91,33,-125,3237,7940,-11176
32,7750,84,43,-127,2361,8569,-10929
33,8000,76,52,-129,1471,9144,-10614
34,8250,67,62,-129,572,9663,-10235
35,8500,59,70,-129,-330,10122,-9792
36,8750,49,79,-128,-1231,10519,-9288
37,9000,40,87,-127,-2124,10851,-8728
38,9250,30,94,-124,-3005,11116,-8113
39,9500,20,101,-121,-3866,11313,-7449
40,9750,10,107,-117,-4704,11440,-6739
41,10000,0,112,-112,-5513,11496,-5987
42,10250,-10,117,-107,-6288,11482,-5198
43,10500,-20,121,-101,-7024,11397,-4377
44,10750,-30,124,-94,-7717,11241,-3529
45,11000,-40,127,-87,-8362,11016,-2660
46,11250,-49,128,-79,-8955,10723,-1774
47,11500,-59,129,-70,-9494,10364,-877
48,11750,-67,129,-62,-9974,9942,25
49,12000,-76,129,-52,-10392,9458,927
50,12250,-84,127,-43,-10746,8915,1823
51,12500,-91,125,-33,-11034,8318,2709
52,12750,-98,122,-23,-11254,7669,3577
53,13000,-105,118,-13,-11405,6973,4424
54,13250,-110,114,-3,-11485,6234,5243
55,13500,-115,108,6,-11495,5457,6030
56,13750,-120,103,16,-11433,4646,6779
57,14000,-123,96,26,-11301,3806,7487
58,14250,-126,89,36,-11100,2943,8149
59,14500,-128,81,46,-10830,2062,8760
60,14750,-129,73,55,-10493,1168,9318
61,15000,-130,64,64,-10092,266,9818
62,15250,-129,55,73,-9628,-636,10257
63,15500,-128,46,81,-9105,-1534,10634
64,15750,-126,36,89,-8526,-2424,10944
65,16000,-123,26,96,-7894,-3298,11188
66,16250,-120,16,103,-7214,-4153,11362
67,16500,-115,6,108,-6489,-4981,11466
68,16750,-110,-3,114,-5724,-5779,11499
69,17000,-105,-13,118,-4924,-6541,11462
70,17250,-98,-23,122,-4093,-7263,11354
71,17500,-91,-33,125,-3237,-7940,11176
72,17750,-84,-43,127,-2361,-8569,10929
73,18000,-76,-52,129,-1471,-9144,10614
74,18250,-67,-62,129,-572,-9663,10235
75,18500,-59,-70,129,330,-10122,9792
76,18750,-49,-79,128,1231,-10519,9288
77,19000,-40,-87,127,2124,-10851,8728
78,19250,-30,-94,124,3005,-11116,8113
79,19500,-20,-101,121,3866,-11313,7449
80,19750,-10,-107,117,4704,-11440,6739
