1,0,0,-186,186,5695,-11876,6185
2,200,13,-192,179,6338,-11870,5536
3,400,26,-198,171,6957,-11817,4865
4,600,40,-203,162,7548,-11718,4174
5,800,53,-207,153,8109,-11572,3468
6,1000,66,-210,143,8638,-11380,2748
7,1200,79,-212,133,9133,-11144,2016
8,1400,91,-214,122,9592,-10863,1277
9,1600,103,-214,111,10013,-10540,533
10,1800,115,-214,99,10395,-10175,-212
11,2000,126,-213,87,10735,-9770,-957
12,2200,137,-211,75,11034,-9326,-1699
13,2400,147,-209,62,11288,-8846,-2434
14,2600,156,-205,49,11498,-8331,-3159
15,2800,165,-201,35,11663,-7782,-3872
16,3000,173,-196,22,11782,-7204,-4570
17,3200,181,-190,9,11854,-6596,-5249
18,3400,188,-183,-4,11879,-5963,-5908
19,3600,194,-176,-17,11858,-5306,-6544
20,3800,199,-168,-31,11790,-4628,-7153
21,4000,204,-159,-44,11675,-3932,-7735
22,4200,208,-150,-57,11514,-3220,-8286
23,4400,211,-140,-70,11308,-2496,-8804
24,4600,213,-129,-83,11057,-1762,-9287
25,4800,214,-118,-95,10762,-1020,-9734
26,5000,215,-107,-107,10425,-275,-10142
27,5200,214,-95,-118,10047,470,-10511
28,5400,213,-83,-129,9629,1215,-10838
29,5600,211,-70,-140,9173,1954,-11122
30,5800,208,-57,-150,8681,2686,-11362
31,6000,204,-44,-159,8155,3407,-11557
32,6200,199,-31,-168,7596,4115,-11707
33,6400,194,-17,-176,7008,4807,-11811
34,6600,188,-4,-183,6392,5480,-11868
35,6800,181,9,-190,5750,6131,-11878
36,7000,173,22,-196,5086,6758,-11841
37,7200,165,35,-201,4402,7358,-11757
38,7400,156,49,-205,3701,7929,-11627
39,7600,147,62,-209,2984,8469,-11452
40,7800,137,75,-211,2257,8975,-11231
41,8000,126,87,-213,1520,9446,-10965
42,8200,115,99,-214,777,9880,-10657
43,8400,103,111,-214,31,10274,-10306
44,8600,91,122,-214,-714,10629,-9915
45,8800,79,133,-212,-1457,10941,-9484
46,9000,66,143,-210,-2195,11210,-9016
47,9200,53,153,-207,-2923,11435,-8513
48,9400,40,162,-203,-3641,11614,-7976
49,9600,26,171,-198,-4343,11748,-7407
50,9800,13,179,-192,-5029,11836,-6809
51,10000,0,186,-186,-5695,11876,-6185
52,10200,-13,192,-179,-6338,11870,-5536
53,10400,-26,198,-171,-6957,11817,-4865
54,10600,-40,203,-162,-7548,11718,-4174
55,10800,-53,207,-153,-8109,11572,-3468
56,11000,-66,210,-143,-8638,11380,-2748
57,11200,-79,212,-133,-9133,11144,-2016
58,11400,-91,214,-122,-9592,10863,-1277
59,11600,-103,214,-111,-10013,10540,-533
60,11800,-115,214,-99,-10395,10175,212
61,12000,-441,63,-278,-6441,9281,526
62,12200,-479,63,-240,-6620,8859,934
63,12400,-514,62,-198,-6772,8403,1338
64,12600,-546,61,-156,-6898,7914,1737
65,12800,-577,60,-112,-6997,7392,2129
66,13000,-605,58,-70,-7069,6843,2513
67,13200,-633,57,-28,-7112,6266,2886
68,13400,-658,54,12,-7127,5664,3249
69,13600,-679,52,54,-7114,5040,3599
70,13800,-696,50,99,-7074,4396,3934
71,14000,-714,47,140,-7005,3735,4254
72,14200,-728,45,182,-6908,3059,4557
73,14400,-738,42,224,-6784,2371,4842
74,14600,-745,38,265,-6634,1673,5107
75,14800,-749,35,304,-6457,969,5353
76,15000,-752,32,342,-6255,261,5578
77,15200,-749,28,377,-6028,-446,5781
78,15400,-745,24,412,-5777,-1154,5960
79,15600,-738,21,448,-5503,-1856,6117
80,15800,-728,17,480,-5208,-2551,6249
81,16000,-714,13,508,-4893,-3236,6356
82,16200,-696,9,537,-4557,-3909,6438
83,16400,-679,5,563,-4204,-4566,6496
84,16600,-658,1,585,-3835,-5206,6527
85,16800,-633,-2,608,-3450,-5824,6532
86,17000,-605,-6,627,-3051,-6420,6512
87,17200,-577,-10,643,-2641,-6990,6466
88,17400,-546,-14,656,-2220,-7532,6394
89,17600,-514,-18,668,-1790,-8045,6298
90,17800,-479,-22,675,-1354,-8526,6177
91,18000,-441,-26,681,-912,-8973,6030
92,18200,-402,-29,684,-466,-9386,5861
93,18400,-360,-33,684,-18,-9760,5668
94,18600,-318,-36,684,428,-10097,5453
95,18800,-276,-39,678,874,-10393,5216
96,19000,-231,-42,672,1317,-10649,4958
97,19200,-185,-45,662,1753,-10863,4682
98,19400,-140,-48,649,2184,-11033,4386
99,19600,-91,-51,633,2605,-11160,4073
100,19800,-45,-53,614,3017,-11244,3744
